Time_(s),Current_(A),Current_Std_Dev_(A),Control_Temperature_(K),Sample_Temperature_(K)
618.567,9.09e-05,2.62e-09,450,450
620.098,9.09e-05,5.05e-09,450,450
621.66,9.09e-05,3.43e-09,450,450
623.19,9.09e-05,2.85e-09,450,450
624.721,9.09e-05,2.98e-09,450,450
626.181,9.09e-05,3.06e-09,450,450
627.722,9.09e-05,2.99e-09,450,450
629.213,9.09e-05,3.19e-09,450,450
630.705,9.09e-05,6.64e-09,450,450
632.197,9.09e-05,1.34e-09,450,450
633.778,9.1e-05,4.35e-09,450,450
635.3,9.1e-05,6.45e-09,450,450
636.856,9.1e-05,9.52e-09,450,450
638.358,9.1e-05,3.05e-09,450,450
639.849,9.1e-05,2.51e-09,450,450
641.388,9.1e-05,2.35e-09,450,450
642.866,9.1e-05,1.64e-09,450,450
644.406,9.11e-05,5.38e-09,450,450
645.886,9.11e-05,4.17e-09,450,450
647.387,9.11e-05,3.71e-09,450,450
648.865,9.11e-05,2.75e-09,450,450
650.404,9.11e-05,1.05e-09,450,450
651.888,9.11e-05,2.46e-09,450,450
653.411,9.11e-05,4.53e-09,450,450
654.87,9.11e-05,2.57e-09,450,450
656.416,9.11e-05,3.66e-09,450,450
657.929,9.12e-05,1.16e-09,450,450
659.453,9.12e-05,4.64e-09,450,450
660.938,9.12e-05,1.78e-09,450,450
662.407,9.12e-05,2.98e-09,450,450
663.883,9.12e-05,2.81e-09,450,450
665.35,9.12e-05,3.1e-09,450,450
666.878,9.12e-05,2.45e-09,450,450
668.443,9.12e-05,2.67e-09,450,450
669.952,9.12e-05,3.63e-09,450,450
671.508,9.13e-05,2.55e-09,450,450
673.546,9.13e-05,3.38e-09,450,450
675.118,9.13e-05,1.37e-09,450,450
676.794,9.13e-05,5.14e-09,450,450
678.366,9.13e-05,4.17e-09,450,450
679.858,9.13e-05,2.06e-09,450,450
681.255,9.13e-05,1.27e-09,450,450
682.737,9.13e-05,5.33e-09,450,450
684.291,9.13e-05,1.17e-09,450,450
685.948,9.14e-05,5.17e-09,450,450
687.42,9.14e-05,2.57e-09,450,450
688.972,9.14e-05,2.88e-09,450,450
690.503,9.14e-05,1.75e-09,450,450
691.935,9.14e-05,2.88e-09,450,450
693.483,9.14e-05,1.57e-09,450,450
694.953,9.14e-05,3.6e-09,450,450
696.495,9.14e-05,1.07e-09,450,450
698.078,9.14e-05,1.73e-09,450,450
699.661,9.14e-05,4.38e-09,450,450
701.181,9.15e-05,3e-09,450,450
702.879,9.15e-05,2.84e-09,450,450
704.508,9.15e-05,3.98e-09,450,450
705.897,9.15e-05,6.67e-10,450,450
707.403,9.15e-05,2.8e-09,450,450
708.874,9.15e-05,1.78e-09,450,450
710.459,9.15e-05,4.95e-09,450,450
711.912,9.15e-05,9.43e-10,450,450
713.43,9.15e-05,2.6e-09,450,450
714.96,9.16e-05,1.7e-09,450,450
716.481,9.16e-05,5.81e-09,450,450
718.057,9.16e-05,1.84e-09,450,450
719.613,9.16e-05,2.45e-09,450,450
721.501,9.16e-05,5.44e-09,450,450
723.044,9.16e-05,1.34e-09,450,450
724.671,9.16e-05,2.8e-09,450,450
726.278,9.16e-05,2.8e-09,450,450
727.841,9.16e-05,2.99e-09,450,450
729.507,9.17e-05,2.25e-09,450,450
731.06,9.17e-05,3.23e-09,450,450
732.77,9.17e-05,5.12e-09,450,450
734.321,9.17e-05,3.52e-09,450,450
735.935,9.17e-05,1.29e-09,450,450
737.635,9.17e-05,1.89e-09,450,450
739.233,9.17e-05,4.18e-09,450,450
741.248,9.17e-05,2.58e-09,450,450
742.755,9.17e-05,3.98e-09,450,450
744.249,9.18e-05,4.59e-09,450,450
745.748,9.18e-05,5.6e-09,450,450
747.265,9.18e-05,3.34e-09,450,450
748.793,9.18e-05,3.22e-09,450,450
750.362,9.18e-05,3.16e-09,450,450
751.872,9.18e-05,3.67e-09,450,450
753.46,9.18e-05,2.04e-09,450,450
754.959,9.19e-05,3.65e-09,450,450
756.538,9.19e-05,2.71e-09,450,450
758.038,9.19e-05,9.49e-10,450,450
759.53,9.19e-05,2.2e-09,450,450
760.958,9.19e-05,1.4e-09,450,450
762.527,9.19e-05,2.46e-09,450,450
764.459,9.19e-05,6.08e-09,450,450
765.941,9.19e-05,5.42e-09,450,450
767.43,9.19e-05,2.32e-09,450,450
768.878,9.19e-05,2.31e-09,450,450
770.393,9.19e-05,2.51e-09,450,450
771.835,9.2e-05,4.58e-09,450,450
773.272,9.2e-05,3.5e-09,450,450
