Time_(s),Current_(A),Current_Std_Dev_(A),Control_Temperature_(K),Sample_Temperature_(K)
7195.59,9.96e-05,,407.5,407.5
7212.06,9.96e-05,,407.5,407.5
7228.741,9.96e-05,,407.5,407.5
7244.589,9.96e-05,,407.5,407.5
7260.567,9.96e-05,,407.5,407.5
7276.954,9.96e-05,,407.5,407.5
7292.965,9.96e-05,,407.5,407.5
7309.624,9.96e-05,,407.5,407.5
7326.201,9.96e-05,,407.5,407.5
7343.113,9.97e-05,,407.5,407.5
7359.251,9.97e-05,,407.5,407.5
7375.922,9.97e-05,,407.5,407.5
7392.64,9.96e-05,,407.5,407.5
7409.038,9.97e-05,,407.5,407.5
7425.551,9.97e-05,,407.5,407.5
7441.781,9.97e-05,,407.5,407.5
7458.217,9.97e-05,,407.5,407.5
7474.207,9.97e-05,,407.5,407.5
7490.568,9.97e-05,,407.5,407.5
7507.349,9.98e-05,,407.5,407.5
7523.455,9.98e-05,,407.5,407.5
7539.743,9.98e-05,,407.5,407.5
7556.178,9.98e-05,,407.5,407.5
7573.167,9.98e-05,,407.5,407.5
7589.487,9.98e-05,,407.5,407.5
7605.562,9.99e-05,,407.5,407.5
7621.643,9.99e-05,,407.5,407.5
7638.059,9.99e-05,,407.5,407.5
7655.042,9.99e-05,,407.5,407.5
7672.133,9.99e-05,,407.5,407.5
7688.257,9.99e-05,,407.5,407.5
7705.24,9.99e-05,,407.5,407.5
7721.972,9.99e-05,,407.5,407.5
7738.706,0.0001,,407.5,407.5
7756.182,0.000100001,,407.5,407.5
7772.2,0.0001,,407.5,407.5
7788.386,0.0001,,407.5,407.5
7804.715,0.000100005,,407.5,407.5
7821.188,0.000100023,,407.5,407.5
7837.658,0.000100041,,407.5,407.5
7854.996,0.000100062,,407.5,407.5
7871.154,0.000100074,,407.5,407.5
7887.214,0.000100071,,407.5,407.5
7903.953,0.000100074,,407.5,407.5
7921.025,0.000100117,,407.5,407.5
7938.681,0.000100163,,407.5,407.5
7954.571,0.000100188,,407.5,407.5
7970.724,0.000100202,,407.5,407.5
7987.246,0.000100211,,407.5,407.5
8004.226,0.000100214,,407.5,407.5
8020.851,0.000100208,,407.5,407.5
8037.255,0.000100221,,407.5,407.5
8053.411,0.000100244,,407.5,407.5
8069.869,0.000100268,,407.5,407.5
8085.9,0.000100312,,407.5,407.5
8102.17,0.000100327,,407.5,407.5
8118.362,0.000100315,,407.5,407.5
8134.269,0.00010033,,407.5,407.5
8150.372,0.000100337,,407.5,407.5
8166.906,0.000100384,,407.5,407.5
8184.476,0.000100411,,407.5,407.5
8201.021,0.000100397,,407.5,407.5
8217.264,0.000100404,,407.5,407.5
8233.371,0.000100385,,407.5,407.5
8249.643,0.000100419,,407.5,407.5
8266.891,0.000100442,,407.5,407.5
8284.608,0.0001005,,407.5,407.5
8300.634,0.000100554,,407.5,407.5
8316.769,0.000100576,,407.5,407.5
8334.542,0.000100553,,407.5,407.5
8351.409,0.000100557,,407.5,407.5
8368.301,0.000100565,,407.5,407.5
8384.335,0.000100555,,407.5,407.5
8400.218,0.000100569,,407.5,407.5
8416.289,0.000100574,,407.5,407.5
8433.004,0.000100601,,407.5,407.5
8450.459,0.000100617,,407.5,407.5
8466.857,0.000100646,,407.5,407.5
8482.813,0.000100645,,407.5,407.5
8499.32,0.000100665,,407.5,407.5
8515.687,0.000100692,,407.5,407.5
8532.272,0.000100676,,407.5,407.5
8548.49,0.000100644,,407.5,407.5
8564.866,0.000100673,,407.5,407.5
8581.357,0.000100722,,407.5,407.5
8598.174,0.000100741,,407.5,407.5
8614.537,0.000100734,,407.5,407.5
8631.901,0.000100758,,407.5,407.5
8648.176,0.000100795,,407.5,407.5
8665.445,0.000100827,,407.5,407.5
8682.147,0.000100855,,407.5,407.5
8699.215,0.000100852,,407.5,407.5
8715.644,0.000100853,,407.5,407.5
8731.926,0.000100884,,407.5,407.5
8748.041,0.000100893,,407.5,407.5
8764.118,0.000100883,,407.5,407.5
8781.097,0.000100874,,407.5,407.5
8798.697,0.000100904,,407.5,407.5
8814.79,0.000100934,,407.5,407.5
8832.234,0.000100954,,407.5,407.5
8848.948,0.000100943,,407.5,407.5
8865.215,0.000100934,,407.5,407.5
8881.175,0.000100964,,407.5,407.5
8897.188,0.000100956,,407.5,407.5
8913.217,0.000100951,,407.5,407.5
8928.992,0.000100943,,407.5,407.5
8946.05,0.000100957,,407.5,407.5
8963.167,0.00010098,,407.5,407.5
8980.006,0.000100996,,407.5,407.5
8996.09,0.000101007,,407.5,407.5
9012.272,0.000101013,,407.5,407.5
9029.302,0.000101032,,407.5,407.5
9046.145,0.000101032,,407.5,407.5
9064.08,0.000101034,,407.5,407.5
9080.129,0.000101045,,407.5,407.5
9096.276,0.000101059,,407.5,407.5
9112.568,0.000101069,,407.5,407.5
9129.987,0.000101049,,407.5,407.5
9146.135,0.000101081,,407.5,407.5
9162.091,0.000101087,,407.5,407.5
9178.188,0.000101061,,407.5,407.5
9194.15,0.000101034,,407.5,407.5
9210.573,0.000101061,,407.5,407.5
9227.427,0.000101076,,407.5,407.5
9243.267,0.000101105,,407.5,407.5
9259.407,0.00010112,,407.5,407.5
9275.687,0.000101145,,407.5,407.5
9291.809,0.000101149,,407.5,407.5
