Time_(s),Current_(A),Current_Std_Dev_(A),Control_Temperature_(K),Sample_Temperature_(K)
4571.63,0.0001603266,8.157641e-08,440.01,440.0
4588.56,0.0001600902,6.325223e-08,440.0,440.0
4605.58,0.0001602026,1.208536e-07,439.99,440.0
4622.29,0.0001603506,6.071829e-08,440.01,440.0
4638.85,0.0001600509,1.013492e-07,440.0,440.0
4655.88,0.0001599021,7.529269e-08,440.0,440.0
4672.67,0.0001600603,3.726497e-08,439.99,440.0
4689.69,0.0001601294,5.591303e-08,440.01,440.0
4706.52,0.0001599855,2.484284e-08,440.01,440.0
4723.34,0.0001599392,4.210252e-08,439.99,440.0
4740.3,0.0001600399,5.118257e-08,439.99,440.0
4757.05,0.0001600118,5.57311e-08,440.02,440.0
4774.09,0.0001600086,6.27379e-08,440.0,440.0
4790.61,0.0001601253,7.112907e-08,440.0,440.0
4807.25,0.0001602657,8.834283e-08,440.0,440.0
4824.15,0.0001602083,2.036364e-08,440.01,440.0
4840.97,0.0001602009,4.269647e-08,440.0,440.0
4857.82,0.0001602644,3.964902e-08,439.99,440.0
4874.64,0.000160219,2.880586e-08,440.01,440.0
4891.52,0.0001602316,2.689568e-08,439.99,440.0
4908.24,0.000160074,6.834715e-08,440.0,440.0
4925.34,0.0001600103,6.093175e-08,440.0,440.0
4942.23,0.0001599478,7.847972e-08,439.99,440.0
4959.01,0.0001598173,4.113946e-08,439.99,440.0
4975.98,0.0001598804,3.286741e-08,440.02,440.0
4993.17,0.0001596896,7.879537e-08,440.0,440.0
5010.2,0.0001597223,6.461003e-08,439.98,440.0
5026.98,0.0001598348,8.524318e-08,440.01,440.0
5043.84,0.0001598434,1.292218e-07,440.01,440.0
5060.7,0.0001598352,5.805706e-08,439.99,440.0
5077.98,0.0001598318,4.332256e-08,439.99,440.0
5095.02,0.0001599105,3.74559e-08,440.01,440.0
5111.74,0.0001598447,4.524513e-08,440.01,440.0
5128.92,0.0001598237,2.782106e-08,440.0,440.0
5145.94,0.0001599489,6.891936e-08,440.0,440.0
5163.13,0.0001599909,4.756388e-08,440.01,440.0
5180.15,0.0001600146,5.050457e-08,440.0,440.0
5197.54,0.0001599135,6.682855e-08,439.98,440.0
5214.43,0.0001599806,4.278162e-08,440.01,440.0
5231.57,0.0001598767,7.265451e-08,440.0,440.0
5248.81,0.0001598809,3.251137e-08,440.0,440.0
5265.9,0.0001599584,2.916695e-08,440.01,440.0
5283.15,0.0001599997,3.176319e-08,440.0,440.0
5300.18,0.0001600088,4.550653e-08,439.99,440.0
5317.12,0.0001599804,6.749683e-08,440.01,440.0
5334.06,0.0001598409,6.49965e-08,440.0,440.0
5351.11,0.0001597201,5.411397e-08,440.0,440.0
5368.03,0.000159704,3.279905e-08,439.99,440.0
5385.22,0.0001597924,6.488314e-08,440.01,440.0
5402.62,0.0001598732,4.756002e-08,440.01,440.0
5419.44,0.0001598735,2.619266e-08,440.0,440.0
5436.62,0.000159902,5.572153e-08,439.98,440.0
5453.43,0.0001600382,3.918843e-08,440.01,440.0
5470.38,0.0001599564,5.60123e-08,440.01,440.0
