Time_(s),Current_(A),Current_Std_Dev_(A),Control_Temperature_(K),Sample_Temperature_(K),Conductivity_(S/cm),Delta_T
9371.298,7.68e-05,,400,400,0.000768,0.30952380952380937
3404.286,7.2e-05,,400,400,0.00072,0.595238095238095
7550.212,7.6e-05,,400,400,0.00076,0.3571428571428569
1300.862,6.87e-05,,400,400,0.000687,0.7916666666666667
5513.169,7.45e-05,,400,400,0.000745,0.4464285714285714
8912.466,7.66e-05,,400,400,0.000766,0.32142857142857156
4035.83,7.27e-05,,400,400,0.000727,0.5535714285714286
3692.401,7.23e-05,,400,400,0.0007229999999999,0.5773809523815474
1253.215,6.85e-05,,400,400,0.000685,0.8035714285714289
6487.674,7.53e-05,,400,400,0.000753,0.3988095238095239
1640.234,6.93e-05,,400,400,0.000693,0.7559523809523808
1880.439,6.98e-05,,400,400,0.000698,0.7261904761904759
6173.552,7.5e-05,,400,400,0.0007499999999999,0.4166666666672616
1752.24,6.96e-05,,400,400,0.000696,0.7380952380952381
2505.261,7.08e-05,,400,400,0.000708,0.6666666666666669
6503.67,7.53e-05,,400,400,0.000753,0.3988095238095239
7402.534,7.6e-05,,400,400,0.00076,0.3571428571428569
4983.939,7.38e-05,,400,400,0.000738,0.4880952380952378
9996.302,7.71e-05,,400,400,0.000771,0.29166666666666674
7660.093,7.61e-05,,400,400,0.000761,0.3511904761904764
6995.887,7.57e-05,,400,400,0.000757,0.37500000000000017
9387.277,7.68e-05,,400,400,0.000768,0.30952380952380937
6205.345,7.51e-05,,400,400,0.0007509999999999,0.4107142857148811
7468.214,7.6e-05,,400,400,0.00076,0.3571428571428569
6415.981,7.52e-05,,400,400,0.000752,0.404761904761905
5111.822,7.4e-05,,400,400,0.00074,0.4761904761904763
7533.634,7.6e-05,,400,400,0.00076,0.3571428571428569
2120.303,7.01e-05,,400,400,0.000701,0.7083333333333333
6302.416,7.51e-05,,400,400,0.0007509999999999,0.4107142857148811
8895.266,7.66e-05,,400,400,0.000766,0.32142857142857156
5820.53,7.47e-05,,400,400,0.000747,0.4345238095238092
5691.95,7.46e-05,,400,400,0.0007459999999999,0.440476190476786
3004.063,7.15e-05,,400,400,0.000715,0.6249999999999999
7451.157,7.6e-05,,400,400,0.00076,0.3571428571428569
8878.879,7.66e-05,,400,400,0.000766,0.32142857142857156
3987.75,7.27e-05,,400,400,0.000727,0.5535714285714286
5031.88,7.39e-05,,400,400,0.000739,0.4821428571428574
8072.224,7.63e-05,,400,400,0.000763,0.3392857142857142
6013.143,7.49e-05,,400,400,0.000749,0.42261904761904767
9289.464,7.68e-05,,400,400,0.000768,0.30952380952380937
8945.727,7.66e-05,,400,400,0.000766,0.32142857142857156
4999.877,7.38e-05,,400,400,0.000738,0.4880952380952378
3276.233,7.19e-05,,400,400,0.000719,0.601190476190476
5660.088,7.46e-05,,400,400,0.0007459999999999,0.440476190476786
4935.156,7.37e-05,,400,400,0.000737,0.4940476190476189
8304.237,7.64e-05,,400,400,0.000764,0.3333333333333331
1317.406,6.87e-05,,400,400,0.000687,0.7916666666666667
7240.096,7.59e-05,,400,400,0.000759,0.36309523809523797
1912.324,6.98e-05,,400,400,0.000698,0.7261904761904759
9702.601,7.69e-05,,400,400,0.0007689999999999,0.30357142857202396
5627.983,7.46e-05,,400,400,0.0007459999999999,0.440476190476786
9223.157,7.67e-05,,400,400,0.0007669999999999,0.3154761904767855
5433.118,7.43e-05,,400,400,0.000743,0.4583333333333336
9109.046,7.67e-05,,400,400,0.0007669999999999,0.3154761904767855
9011.237,7.67e-05,,400,400,0.0007669999999999,0.3154761904767855
4293.111,7.29e-05,,400,400,0.0007289999999999,0.541666666667262
1414.472,6.89e-05,,400,400,0.0006889999999999,0.7797619047625002
7094.066,7.57e-05,,400,400,0.000757,0.37500000000000017
5771.84,7.47e-05,,400,400,0.000747,0.4345238095238092
5676.017,7.46e-05,,400,400,0.0007459999999999,0.440476190476786
1688.327,6.95e-05,,400,400,0.000695,0.7440476190476192
6731.769,7.55e-05,,400,400,0.000755,0.3869047619047617
4211.942,7.29e-05,,400,400,0.0007289999999999,0.541666666667262
4551.386,7.32e-05,,400,400,0.000732,0.5238095238095237
4519.245,7.31e-05,,400,400,0.000731,0.5297619047619049
6222.049,7.51e-05,,400,400,0.0007509999999999,0.4107142857148811
3484.044,7.21e-05,,400,400,0.000721,0.5892857142857145
3035.928,7.16e-05,,400,400,0.000716,0.6190476190476194
9604.476,7.69e-05,,400,400,0.0007689999999999,0.30357142857202396
7142.498,7.58e-05,,400,400,0.000758,0.36904761904761907
3806.089,7.25e-05,,400,400,0.000725,0.5654761904761908
1511.095,6.91e-05,,400,400,0.000691,0.767857142857143
2827.441,7.12e-05,,400,400,0.000712,0.6428571428571431
4372.652,7.3e-05,,400,400,0.00073,0.5357142857142859
3790.1,7.25e-05,,400,400,0.000725,0.5654761904761908
5320.441,7.43e-05,,400,400,0.000743,0.4583333333333336
5804.393,7.47e-05,,400,400,0.000747,0.4345238095238092
1928.223,6.99e-05,,400,400,0.000699,0.7202380952380955
5417.177,7.43e-05,,400,400,0.000743,0.4583333333333336
1398.25,6.89e-05,,400,400,0.0006889999999999,0.7797619047625002
1285.155,6.86e-05,,400,400,0.000686,0.7976190476190478
6962.693,7.56e-05,,400,400,0.0007559999999999,0.3809523809529763
2071.884,7.01e-05,,400,400,0.000701,0.7083333333333333
9504.898,7.68e-05,,400,400,0.000768,0.30952380952380937
62108.93,8.16e-05,,400,400,0.000816,0.02380952380952375
65970.76,8.14e-05,,400,400,0.000814,0.035714285714285296
10143.73,7.71e-05,,400,400,0.000771,0.29166666666666674
84434.64,8.07e-05,,400,400,0.000807,0.07738095238095234
36618.24,8.06e-05,,400,400,0.000806,0.08333333333333344
10551.88,7.73e-05,,400,400,0.0007729999999999,0.2797619047625002
82238.97,8.07e-05,,400,400,0.000807,0.07738095238095234
14779.43,7.84e-05,,400,400,0.000784,0.21428571428571438
67299.16,8.13e-05,,400,400,0.0008129999999999,0.04166666666726206
70942.69,8.12e-05,,400,400,0.000812,0.0476190476190475
96611.02,8.17e-05,,400,400,0.0008169999999999,0.017857142857738314
69320.66,8.13e-05,,400,400,0.0008129999999999,0.04166666666726206
84484.68,8.07e-05,,400,400,0.000807,0.07738095238095234
95415.21,8.15e-05,,400,400,0.000815,0.029761904761904847
16944.38,7.89e-05,,400,400,0.000789,0.18452380952380953
57643.12,8.16e-05,,400,400,0.000816,0.02380952380952375
96250.31,8.16e-05,,400,400,0.000816,0.02380952380952375
91888.79,8.12e-05,,400,400,0.000812,0.0476190476190475
82289.17,8.07e-05,,400,400,0.000807,0.07738095238095234
82617.45,8.07e-05,,400,400,0.000807,0.07738095238095234
80811.91,8.07e-05,,400,400,0.000807,0.07738095238095234
17453.5,7.89e-05,,400,400,0.000789,0.18452380952380953
47935.34,8.2e-05,,400,400,0.00082,-0.0
78619.96,8.09e-05,,400,400,0.000809,0.06547619047619015
14879.45,7.84e-05,,400,400,0.000784,0.21428571428571438
60800.46,8.15e-05,,400,400,0.000815,0.029761904761904847
95053.53,8.15e-05,,400,400,0.000815,0.029761904761904847
54397.87,8.16e-05,,400,400,0.000816,0.02380952380952375
67428.65,8.12e-05,,400,400,0.000812,0.0476190476190475
44534.9,8.17e-05,,400,400,0.0008169999999999,0.017857142857738314
63617.13,8.16e-05,,400,400,0.000816,0.02380952380952375
61216.46,8.15e-05,,400,400,0.000815,0.029761904761904847
94661.22,8.15e-05,,400,400,0.000815,0.029761904761904847
47706.06,8.2e-05,,400,400,0.00082,-0.0
84713.25,8.08e-05,,400,400,0.000808,0.07142857142857124
16469.12,7.88e-05,,400,400,0.000788,0.19047619047619063
61534.2,8.15e-05,,400,400,0.000815,0.029761904761904847
78553.7,8.09e-05,,400,400,0.000809,0.06547619047619015
83389.47,8.08e-05,,400,400,0.000808,0.07142857142857124
60666.38,8.15e-05,,400,400,0.000815,0.029761904761904847
75799.97,8.1e-05,,400,400,0.00081,0.059523809523809694
75833.43,8.1e-05,,400,400,0.00081,0.059523809523809694
95679.78,8.16e-05,,400,400,0.000816,0.02380952380952375
33885.01,8.05e-05,,400,400,0.000805,0.0892857142857139
63583.41,8.16e-05,,400,400,0.000816,0.02380952380952375
21592.13,7.95e-05,,400,400,0.0007949999999999,0.14880952381011925
56676.06,8.17e-05,,400,400,0.0008169999999999,0.017857142857738314
16271.7,7.87e-05,,400,400,0.000787,0.1964285714285711
30717.79,8.03e-05,,400,400,0.000803,0.1011904761904761
55873.97,8.16e-05,,400,400,0.000816,0.02380952380952375
86642.42,8.07e-05,,400,400,0.000807,0.07738095238095234
97791.36,8.18e-05,,400,400,0.0008179999999999,0.011904761905357218
82106.37,8.08e-05,,400,400,0.000808,0.07142857142857124
27191.38,8.01e-05,,400,400,0.000801,0.11309523809523829
40767.77,8.1e-05,,400,400,0.00081,0.059523809523809694
