Time_(s),Current_(A),Current_Std_Dev_(A),Control_Temperature_(K),Sample_Temperature_(K),Unnamed: 5,Unnamed: 6,Conductivity_(S/cm),Delta_T
1287.599,0.0001226331,6.314885e-09,430.01,430.01,,,0.001226331,0.7595090230349745
4827.948,0.0001250162,1.183028e-08,430.0,430.0,,,0.001250162,0.5545252799807331
7926.135,0.0001258078,7.743097e-09,430.01,430.01,,,0.001258078,0.48643534208398653
1361.317,0.000122729,6.463573e-09,430.01,430.01,,,0.00122729,0.7512601283352546
6804.628,0.0001254884,1.792081e-08,429.99,429.99,,,0.001254884,0.5139087202601119
7889.026,0.0001257868,7.161626e-09,430.0,430.0,,,0.0012578679999999,0.48824166939135477
2036.464,0.0001234593,1.091431e-08,430.0,430.0,,,0.001234593,0.6884429458617908
6035.935,0.0001253384,1.55077e-08,429.99,429.99,,,0.001253384,0.5268110581637399
8295.465,0.0001258088,1.427352e-08,430.01,430.01,,,0.0012580879999999,0.4863493264988227
6950.933,0.0001255476,7.121173e-09,430.0,430.0,,,0.001255476,0.50881659756748
3571.996,0.0001243355,9.478045e-09,430.0,430.0,,,0.001243355,0.6130760893873972
8942.128,0.0001260046,3.272783e-09,430.0,430.0,,,0.001260046,0.4695074747544266
8630.228,0.000125883,1.98774e-08,429.99,429.99,,,0.00125883,0.47996697001496647
9975.238,0.0001261416,5.929212e-09,430.0,430.0,,,0.001261416,0.457723339469112
1469.743,0.0001228303,1.966977e-08,430.01,430.01,,,0.001228303,0.7425467494710043
9457.628,0.000126118,7.512952e-09,430.0,430.0,,,0.0012611799999999,0.4597533073001429
3517.326,0.0001242974,7.604092e-09,430.0,430.0,,,0.001242974,0.616353283214919
9347.008,0.0001261221,5.300943e-09,430.0,430.0,,,0.001261221,0.459400643396583
7393.027,0.0001255569,9.949316e-09,430.0,430.0,,,0.001255569,0.5080166526174547
1780.508,0.0001231507,1.043552e-08,430.0,430.0,,,0.001231507,0.7149873557088552
4809.81,0.0001250559,8.332667e-09,430.0,430.0,,,0.001250559,0.5511104612155722
5343.018,0.0001251455,5.892557e-09,430.0,430.0,,,0.0012514549999999,0.5434034647086647
6017.353,0.0001253311,1.985195e-08,430.0,430.0,,,0.001253311,0.5274389719417161
5561.678,0.0001251758,4.2374e-09,430.0,430.0,,,0.001251758,0.5407971924512729
9605.408,0.0001261263,7.761014e-09,430.0,430.0,,,0.0012612629999999,0.459039377936143
7502.993,0.0001255977,5.165054e-09,430.0,430.0,,,0.001255977,0.5045072167076684
8517.978,0.0001259391,7.489993e-09,430.0,430.0,,,0.001259391,0.475141495639011
5488.779,0.0001251611,6.136412e-09,430.0,430.0,,,0.001251611,0.5420616215658288
9070.498,0.0001260705,6.023104e-09,430.0,430.0,,,0.001260705,0.463839047635432
1415.639,0.0001228071,1.377155e-08,430.01,430.01,,,0.001228071,0.7445423110667652
6877.735,0.0001255149,8.748968e-09,430.0,430.0,,,0.001255149,0.5116293072304695
1854.614,0.0001232614,8.044322e-09,430.0,430.0,,,0.001232614,0.7054654303359779
1578.885,0.0001230303,1.45224e-08,430.0,430.0,,,0.0012303029999999,0.725343632267028
3077.758,0.0001240102,7.800285e-09,430.0,430.0,,,0.0012401019999999,0.6410569595219265
7778.422,0.0001257382,1.278715e-08,430.0,430.0,,,0.001257382,0.4924220268712691
6474.277,0.0001254506,3.724454e-08,430.0,430.0,,,0.001254506,0.5171601094118252
4516.858,0.0001247068,2.063331e-08,429.99,429.99,,,0.001247068,0.5811385022966161
3425.936,0.0001242738,5.49343e-09,430.01,430.01,,,0.001242738,0.6183832510450901
2054.824,0.0001234786,9.924157e-09,430.01,430.01,,,0.0012347859999999,0.6867828450523847
4334.861,0.0001246899,1.437165e-08,430.0,430.0,,,0.0012468989999999,0.5825921657012861
1451.778,0.0001228047,1.828205e-08,430.0,430.0,,,0.001228047,0.7447487484732246
1325.145,0.0001226785,1.668166e-08,430.0,430.0,,,0.0012267849999999,0.7556039154303362
4298.408,0.0001246401,8.184674e-09,430.0,430.0,,,0.001246401,0.5868757418844293
2220.286,0.0001235823,6.201254e-09,430.0,430.0,,,0.001235823,0.6778630287808152
5779.875,0.0001252529,1.243159e-08,430.0,430.0,,,0.001252529,0.5341653907688072
