Time_(s),Current_(A),Current_Std_Dev_(A),Control_Temperature_(K),Sample_Temperature_(K),Conductivity_(S/cm),Delta_T
100.359,0.000104356,,430,430,0.00104356,0.9828674018979225
136.809,0.000104636,,430,430,0.00104636,0.9756860733521414
670.424,0.000108336,,430,430,0.00108336,0.8807899461400359
794.706,0.000109099,,430,430,0.00109099,0.8612208258527828
210.596,0.000105186,,430,430,0.00105186,0.961579892280072
947.694,0.000109983,,430,430,0.00109983,0.8385483457296744
612.51,0.000107951,,430,430,0.0010795099999999,0.8906642728907415
686.357,0.000108485,,430,430,0.00108485,0.8769684534496024
506.875,0.000107302,,430,430,0.00107302,0.907309566555527
897.48,0.000109754,,430,430,0.00109754,0.8444216465760453
874.471,0.000109612,,430,430,0.00109612,0.8480636060528344
148.496,0.000104723,,430,430,0.00104723,0.9734547319825599
477.795,0.000107105,,430,430,0.00107105,0.9123621441395229
564.074,0.000107684,,430,430,0.00107684,0.8975121826109261
935.073,0.000109913,,430,430,0.00109913,0.8403436778661195
182.001,0.000104922,,430,430,0.00104922,0.9683508591946652
620.304,0.000108003,,430,430,0.00108003,0.8893305975891254
981.871,0.000110175,,430,430,0.0011017499999999,0.8336240061556812
327.978,0.00010603,,430,430,0.0010603,0.9399333162349323
462.841,0.000107029,,430,430,0.00107029,0.9143113618876635
666.694,0.000108317,,430,430,0.00108317,0.881277250577071
952.218,0.000110003,,430,430,0.0011000299999999,0.8380353936909466
142.554,0.000104693,,430,430,0.00104693,0.9742241600410363
190.378,0.00010502,,430,430,0.0010501999999999,0.9658373942038982
969.851,0.000110121,,430,430,0.00110121,0.8350089766606822
990.825,0.000110227,,430,430,0.00110227,0.8322903308540651
369.36,0.000106404,,430,430,0.00106404,0.9303411131059245
282.441,0.000105719,,430,430,0.00105719,0.9479097204411389
212.635,0.000105208,,430,430,0.00105208,0.9610156450371892
402.935,0.000106614,,430,430,0.00106614,0.9249551166965891
146.364,0.000104706,,430,430,0.00104706,0.9738907412156962
132.954,0.000104609,,430,430,0.00104609,0.9763785586047706
229.822,0.000105335,,430,430,0.00105335,0.9577583995896384
831.151,0.000109335,,430,430,0.0010933499999999,0.8551679917930242
595.129,0.000107828,,430,430,0.00107828,0.8938189279302384
160.263,0.000104807,,430,430,0.00104807,0.9713003334188256
265.173,0.000105579,,430,430,0.00105579,0.9515003847140292
710.615,0.000108584,,430,430,0.00108584,0.8744293408566299
347.176,0.000106147,,430,430,0.00106147,0.9369325468068739
803.044,0.000109146,,430,430,0.00109146,0.8600153885611694
799.065,0.000109137,,430,430,0.00109137,0.8602462169787127
284.485,0.000105755,,430,430,0.00105755,0.946986406770967
579.375,0.000107767,,430,430,0.00107767,0.8953834316491409
773.449,0.000108975,,430,430,0.00108975,0.8644011284944858
895.4,0.000109742,,430,430,0.00109742,0.8447294177994358
754.904,0.000108828,,430,430,0.00108828,0.8681713259810206
455.184,0.000106968,,430,430,0.00106968,0.915875865606566
303.679,0.000105892,,430,430,0.0010589199999999,0.9434726853041808
838.742,0.000109365,,430,430,0.0010936499999999,0.8543985637345471
110.264,0.000104431,,430,430,0.00104431,0.9809438317517315
188.495,0.000105007,,430,430,0.00105007,0.9661708130289819
453.155,0.000106951,,430,430,0.00106951,0.9163118748397023
357.563,0.000106243,,430,430,0.00106243,0.9344703770197486
869.937,0.000109562,,430,430,0.00109562,0.8493459861502949
658.51,0.000108255,,430,430,0.00108255,0.8828674018979225
130.993,0.000104611,,430,430,0.00104611,0.976327263400872
929.945,0.000109916,,430,430,0.00109916,0.8402667350602717
844.435,0.000109396,,430,430,0.00109396,0.8536034880738653
737.096,0.000108729,,430,430,0.0010872899999999,0.8707104385742501
106.459,0.000104403,,430,430,0.00104403,0.9816619646063092
134.96,0.000104624,,430,430,0.00104624,0.9759938445755324
996.942,0.000110266,,430,430,0.00110266,0.8312900743780455
218.307,0.000105246,,430,430,0.00105246,0.9600410361631186
533.459,0.000107491,,430,430,0.00107491,0.9024621697871247
551.394,0.000107605,,430,430,0.00107605,0.899538343164914
443.453,0.000106909,,430,430,0.00106909,0.9173890741215698
224.221,0.000105288,,430,430,0.00105288,0.9589638368812518
315.564,0.000105957,,430,430,0.00105957,0.9418055911772252
